"call_id","call_created_date","meta_contacted_by","score_qa_score"
"1034HIAP7T43H9M4410K4M597K02N9V9",2020-02-04,,11.00
"1034HIAP7T43H9M4410K4M597K02KN1R",2020-02-04,,11.00
"1034HIAP7T43H9M4410K4M597K02MAKR",2020-02-04,,22.00
"1034HIAP7T43H9M4410K4M597K02K42C",2020-02-04,,22.00
"1034HIAP7T43H9M4410K4M597K02L191",2020-02-04,,22.00
"1034HIAP7T43H9M4410K4M597K02I87U",2020-02-04,,11.00
"1034HIAP7T43H9M4410K4M597K02K5B4",2020-02-04,,11.00
"1034HIAP7T43H9M4410K4M597K02H72O",2020-02-04,,22.00
"1034HIAP7T43H9M4410K4M597K02I4S1",2020-02-04,,11.00
"1034HIAP7T43H9M4410K4M597K02JDNJ",2020-02-04,,11.00
"1034HIAP7T43H9M4410K4M597K02J4NF",2020-02-04,,22.00
"1034HIAP7T43H9M4410K4M597K02L25E",2020-02-04,,11.00
"1034HIAP7T43H9M4410K4M597K02L74Q",2020-02-04,,11.00
"1034HIAP7T43H9M4410K4M597K02MOGD",2020-02-04,,11.00
"1034HIAP7T43H9M4410K4M597K02JTU1",2020-02-04,,11.00
"1034HIAP7T43H9M4410K4M597K02NFSI",2020-02-04,,11.00
"1034HIAP7T43H9M4410K4M597K02KU71",2020-02-04,,33.00
"1034HIAP7T43H9M4410K4M597K02N7N1",2020-02-04,,11.00
"1034HIAP7T43H9M4410K4M597K02FS0B",2020-02-04,,22.00
"1034HIAP7T43H9M4410K4M597K02I1MR",2020-02-04,,11.00
"1034HIAP7T43H9M4410K4M597K02I708",2020-02-04,,22.00
"1034HIAP7T43H9M4410K4M597K02HCEJ",2020-02-04,,22.00
"1034HIAP7T43H9M4410K4M597K02JQ5D",2020-02-04,,22.00
"1034HIAP7T43H9M4410K4M597K02ISPU",2020-02-04,,11.00
"1034HIAP7T43H9M4410K4M597K02JRP6",2020-02-04,,11.00
"1034HIAP7T43H9M4410K4M597K02JIOO",2020-02-04,,11.00
"1034HIAP7T43H9M4410K4M597K02H9OI",2020-02-04,,33.00
"1034HIAP7T43H9M4410K4M597K02I0RA",2020-02-04,,11.00
"1034HIAP7T43H9M4410K4M597K02KT8A",2020-02-04,,22.00
"1034HIAP7T43H9M4410K4M597K02IUFA",2020-02-04,,22.00
"1034HIAP7T43H9M4410K4M597K02KL2J",2020-02-04,,11.00
"1034HIAP7T43H9M4410K4M597K02JDEQ",2020-02-04,,22.00
"1034HIAP7T43H9M4410K4M597K02FK3I",2020-02-04,,22.00
"1034HIAP7T43H9M4410K4M597K02IMSE",2020-02-04,,22.00
"1034HIAP7T43H9M4410K4M597K02F6Q0",2020-02-04,,22.00
"1034HIAP7T43H9M4410K4M597K02O0KI",2020-02-05,,22.00
"1034HIAP7T43H9M4410K4M597K02OEN9",2020-02-05,,11.00
"1034HIAP7T43H9M4410K4M597K02O5EE",2020-02-05,,22.00
"1034HIAP7T43H9M4410K4M597K02OJU7",2020-02-05,,11.00
"1034HIAP7T43H9M4410K4M597K0301H4",2020-02-05,,22.00
"1034HIAP7T43H9M4410K4M597K030J38",2020-02-05,,11.00
